gene	transcript	canonical	obs_mis	exp_mis	oe_mis	mu_mis	possible_mis	obs_mis_pphen	exp_mis_pphen	oe_mis_pphen	possible_mis_pphen	obs_syn	exp_syn	oe_syn	mu_syn	possible_syn	obs_lof	mu_lof	possible_lof	exp_lof	pLI	pNull	pRec	oe_lof	oe_syn_lower	oe_syn_upper	oe_mis_lower	oe_mis_upper	oe_lof_lower	oe_lof_upper	constraint_flag	syn_z	mis_z	lof_z	oe_lof_upper_rank	oe_lof_upper_bin	oe_lof_upper_bin_6	n_sites	classic_caf	max_af	no_lofs	obs_het_lof	obs_hom_lof	defined	p	exp_hom_lof	classic_caf_afr	classic_caf_amr	classic_caf_asj	classic_caf_eas	classic_caf_fin	classic_caf_nfe	classic_caf_oth	classic_caf_sas	p_afr	p_amr	p_asj	p_eas	p_fin	p_nfe	p_oth	p_sas	transcript_type	gene_id	transcript_level	cds_length	num_coding_exons	gene_type	gene_length	exac_pLI	exac_obs_lof	exac_exp_lof	exac_oe_lof	brain_expression	chromosome	start_position	end_position
KDM2A	ENST00000529006	TRUE	302	6.96E+02	4.34E-01	4.28E-05	7615	40	2.62E+02	1.53E-01	2818	260	2.52E+02	1.03E+00	1.42E-05	2247	0	4.16E-06	676	6.55E+01	1.00E+00	9.15E-27	4.03E-11	0.00E+00	9.33E-01	1.15E+00	3.94E-01	4.77E-01	0.00E+00	4.50E-02		-4.10E-01	5.31E+00	7.50E+00	20	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000173120	2	3486	20	protein_coding	138819	1.00E+00	0	4.65E+01	0.00E+00	NA	11	66886740	67025558
BRD4	ENST00000263377	TRUE	519	8.05E+02	6.44E-01	5.05E-05	8836	8	1.48E+01	5.39E-01	142	426	3.41E+02	1.25E+00	2.44E-05	2678	0	3.19E-06	689	6.15E+01	1.00E+00	3.64E-25	1.83E-10	0.00E+00	1.15E+00	1.35E+00	5.99E-01	6.93E-01	0.00E+00	4.80E-02		-3.62E+00	3.59E+00	7.27E+00	22	0	0	6	4.93E-05	1.46E-05	125740	4	0	125744	1.59E-05	3.18E-05	0.00E+00	1.37E-04	1.02E-04	0.00E+00	0.00E+00	4.16E-05	0.00E+00	0.00E+00	0.00E+00	2.89E-05	9.92E-05	0.00E+00	0.00E+00	1.76E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000141867	2	4086	19	protein_coding	95710	1.00E+00	1	3.76E+01	2.66E-02	NA	19	15347647	15443356
HELZ	ENST00000358691	TRUE	747	1.05E+03	7.13E-01	5.48E-05	12723	115	2.84E+02	4.05E-01	3446	371	3.77E+02	9.85E-01	2.01E-05	3755	1	5.13E-06	1148	9.85E+01	1.00E+00	9.38E-39	9.29E-16	1.02E-02	9.04E-01	1.07E+00	6.71E-01	7.57E-01	3.00E-03	4.80E-02		2.35E-01	3.30E+00	9.10E+00	23	0	0	4	1.63E-05	4.19E-06	124780	4	0	124784	1.60E-05	3.21E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.64E-05	2.70E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.64E-05	2.65E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000198265	2	5826	30	protein_coding	175552	1.00E+00	0	6.57E+01	0.00E+00	NA	17	65066554	65242105
FBN1	ENST00000316623	TRUE	1038	1.61E+03	6.45E-01	9.32E-05	19158	346	7.58E+02	4.57E-01	8847	573	5.80E+02	9.88E-01	3.65E-05	5163	3	8.94E-06	1983	1.59E+02	1.00E+00	1.69E-60	4.09E-24	1.89E-02	9.22E-01	1.06E+00	6.12E-01	6.79E-01	8.00E-03	4.90E-02		2.21E-01	5.06E+00	1.15E+01	25	0	0	7	6.37E-05	3.98E-05	125733	14	0	125747	5.57E-05	3.90E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.18E-04	8.80E-06	3.26E-04	1.31E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.16E-04	8.79E-06	3.26E-04	6.53E-05	protein_coding	ENSG00000166147	2	8613	65	protein_coding	237544	1.00E+00	3	1.19E+02	2.52E-02	NA	15	48700503	48938046
POLA1	ENST00000379059	TRUE	384	5.11E+02	7.52E-01	3.84E-05	9673	90	1.69E+02	5.33E-01	3064	201	1.85E+02	1.09E+00	1.42E-05	2645	0	4.52E-06	1044	5.77E+01	1.00E+00	1.21E-23	7.70E-10	0.00E+00	9.66E-01	1.22E+00	6.91E-01	8.18E-01	0.00E+00	5.10E-02		-9.11E-01	1.99E+00	7.04E+00	27	0	0	1	6.18E-06	6.18E-06	107638	1	0	107639	4.65E-06	2.32E-06	0.00E+00	4.73E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.98E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000101868	2	4386	37	protein_coding	303068	1.00E+00	1	4.46E+01	2.24E-02	NA	X	24712036	25015103
PRR12	ENST00000418929	TRUE	970	1.27E+03	7.65E-01	8.59E-05	12597	120	2.01E+02	5.97E-01	1845	689	5.88E+02	1.17E+00	4.43E-05	4644	0	2.84E-06	700	5.77E+01	1.00E+00	1.19E-23	7.66E-10	0.00E+00	1.10E+00	1.25E+00	7.25E-01	8.06E-01	0.00E+00	5.10E-02		-3.29E+00	2.98E+00	7.04E+00	31	0	0	1	6.71E-06	6.71E-06	74464	1	0	74465	6.71E-06	3.36E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.86E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.86E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000126464	2	6108	14	protein_coding	34797	1.00E+00	0	2.91E+01	0.00E+00	NA	19	50094900	50129696
USP9X	ENST00000324545	TRUE	378	9.27E+02	4.08E-01	6.97E-05	17036	118	4.34E+02	2.72E-01	8322	311	3.20E+02	9.71E-01	2.37E-05	4760	1	7.46E-06	1619	9.35E+01	1.00E+00	9.18E-37	6.10E-15	1.07E-02	8.84E-01	1.07E+00	3.74E-01	4.44E-01	3.00E-03	5.10E-02		4.07E-01	6.41E+00	8.86E+00	32	0	0	3	7.75E-05	6.61E-05	125270	10	4	125284	5.59E-05	3.91E-04	8.35E-05	1.11E-04	1.35E-04	0.00E+00	6.26E-05	9.86E-05	0.00E+00	0.00E+00	6.23E-05	8.71E-05	9.93E-05	0.00E+00	4.62E-05	7.05E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000124486	2	7710	44	protein_coding	150945	1.00E+00	0	6.67E+01	0.00E+00	NA	X	40944888	41095832
XPO1	ENST00000401558	TRUE	152	5.48E+02	2.77E-01	2.64E-05	7187	21	2.06E+02	1.02E-01	2805	211	1.84E+02	1.15E+00	9.22E-06	1899	0	2.97E-06	721	5.87E+01	1.00E+00	4.81E-24	5.28E-10	0.00E+00	1.03E+00	1.29E+00	2.42E-01	3.17E-01	0.00E+00	5.10E-02		-1.57E+00	6.01E+00	7.10E+00	33	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000082898	2	3213	24	protein_coding	60778	1.00E+00	0	4.05E+01	0.00E+00	NA	2	61704984	61765761
HDAC4	ENST00000345617	TRUE	497	7.18E+02	6.93E-01	5.21E-05	7003	117	2.47E+02	4.73E-01	2364	391	3.29E+02	1.19E+00	2.79E-05	2207	0	2.70E-06	622	5.74E+01	1.00E+00	1.52E-23	8.46E-10	0.00E+00	1.09E+00	1.29E+00	6.43E-01	7.46E-01	0.00E+00	5.20E-02		-2.67E+00	2.93E+00	7.02E+00	36	0	0	1	4.03E-06	4.03E-06	123962	1	0	123963	4.03E-06	2.02E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.01E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.01E-06	0.00E+00	0.00E+00	protein_coding	ENSG00000068024	2	3252	26	protein_coding	353485	1.00E+00	1	3.64E+01	2.75E-02	NA	2	239969864	240323348
SYNGAP1	ENST00000418600	TRUE	351	7.96E+02	4.41E-01	5.37E-05	8688	128	3.47E+02	3.69E-01	3803	287	3.25E+02	8.83E-01	2.03E-05	2808	0	3.50E-06	625	5.65E+01	1.00E+00	3.34E-23	1.17E-09	0.00E+00	8.01E-01	9.74E-01	4.03E-01	4.82E-01	0.00E+00	5.20E-02		1.65E+00	5.60E+00	6.97E+00	38	0	0	3	1.41E-05	6.17E-06	125739	3	0	125742	1.19E-05	1.79E-05	0.00E+00	7.03E-05	0.00E+00	0.00E+00	0.00E+00	8.81E-06	0.00E+00	0.00E+00	0.00E+00	5.78E-05	0.00E+00	0.00E+00	0.00E+00	8.79E-06	0.00E+00	0.00E+00	protein_coding	ENSG00000197283	2	4029	19	protein_coding	33620	1.00E+00	1	4.14E+01	2.41E-02	NA	6	33387847	33421466
PRKDC	ENST00000314191	TRUE	1727	2.08E+03	8.30E-01	1.15E-04	26967	396	6.27E+02	6.32E-01	8333	835	7.96E+02	1.05E+00	4.63E-05	7701	5	1.03E-05	2670	2.01E+02	1.00E+00	6.44E-75	1.83E-29	2.49E-02	9.90E-01	1.11E+00	7.97E-01	8.63E-01	1.20E-02	5.20E-02		-1.09E+00	2.76E+00	1.28E+01	39	0	0	13	1.00E+00	1.00E+00	1885	9	122762	124656	8.77E-01	9.59E+04	1.00E+00	1.04E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	1.00E+00	8.19E-01	8.87E-01	9.07E-01	8.96E-01	9.13E-01	8.69E-01	8.73E-01	8.95E-01	protein_coding	ENSG00000253729	3	12381	87	protein_coding	187075	1.00E+00	5	1.26E+02	3.96E-02	NA	8	48685669	48872743
SMG1	ENST00000446231	TRUE	1372	1.76E+03	7.79E-01	9.37E-05	23799	424	7.37E+02	5.75E-01	10252	736	6.47E+02	1.14E+00	3.57E-05	7024	4	9.08E-06	2272	1.72E+02	1.00E+00	7.71E-65	1.30E-25	2.32E-02	1.07E+00	1.21E+00	7.44E-01	8.14E-01	1.00E-02	5.30E-02		-2.76E+00	3.30E+00	1.19E+01	42	0	0	7	2.93E-05	5.14E-06	124652	7	0	124659	2.81E-05	9.83E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-05	3.55E-05	2.06E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	9.28E-05	3.54E-05	1.65E-04	0.00E+00	protein_coding	ENSG00000157106	2	10983	63	protein_coding	121602	1.00E+00	4	1.01E+02	3.95E-02	NA	16	18816175	18937776
ZC3H4	ENST00000253048	TRUE	746	7.98E+02	9.35E-01	5.42E-05	8378	95	1.16E+02	8.21E-01	1145	446	3.43E+02	1.30E+00	2.53E-05	2661	0	3.77E-06	543	5.46E+01	1.00E+00	1.88E-22	2.38E-09	0.00E+00	1.20E+00	1.41E+00	8.79E-01	9.93E-01	0.00E+00	5.40E-02	syn_outlier	-4.37E+00	6.56E-01	6.85E+00	48	0	0	14	1.64E-03	8.02E-04	124776	14	0	124790	5.61E-05	3.93E-04	1.74E-04	6.98E-05	0.00E+00	0.00E+00	3.65E-03	1.03E-03	0.00E+00	6.61E-05	6.46E-05	2.90E-05	0.00E+00	0.00E+00	2.32E-04	5.30E-05	0.00E+00	3.27E-05	protein_coding	ENSG00000130749	2	3909	14	protein_coding	49566	1.00E+00	0	4.22E+01	0.00E+00	NA	19	47567444	47617009
SMARCA4	ENST00000429416	TRUE	423	1.05E+03	4.04E-01	7.73E-05	10728	120	4.53E+02	2.65E-01	4695	511	4.57E+02	1.12E+00	3.85E-05	3212	1	5.02E-06	944	8.58E+01	1.00E+00	1.04E-33	1.10E-13	1.17E-02	1.04E+00	1.20E+00	3.72E-01	4.38E-01	3.00E-03	5.50E-02		-2.00E+00	6.85E+00	8.48E+00	55	0	0	6	3.40E-05	7.98E-06	125741	7	0	125748	2.78E-05	9.74E-05	1.30E-04	4.10E-05	0.00E+00	5.44E-05	0.00E+00	3.45E-05	0.00E+00	0.00E+00	1.23E-04	2.89E-05	0.00E+00	5.44E-05	0.00E+00	2.64E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000127616	2	4941	34	protein_coding	104474	1.00E+00	1	5.88E+01	1.70E-02	NA	19	11071598	11176071
COL5A1	ENST00000371817	TRUE	937	1.13E+03	8.27E-01	7.47E-05	11580	245	2.90E+02	8.45E-01	2969	526	4.76E+02	1.11E+00	3.87E-05	3909	2	5.78E-06	1322	1.15E+02	1.00E+00	4.33E-44	1.15E-17	1.74E-02	1.03E+00	1.19E+00	7.83E-01	8.73E-01	6.00E-03	5.50E-02		-1.82E+00	2.07E+00	9.75E+00	56	0	0	3	1.20E-05	3.99E-06	125729	3	0	125732	1.19E-05	1.79E-05	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	1.76E-05	0.00E+00	0.00E+00	0.00E+00	2.89E-05	0.00E+00	0.00E+00	0.00E+00	1.76E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000130635	2	5514	66	protein_coding	203067	1.00E+00	1	8.33E+01	1.20E-02	NA	9	137533620	137736686
TNPO1	ENST00000337273	TRUE	216	4.84E+02	4.47E-01	2.47E-05	5978	16	9.07E+01	1.76E-01	1162	162	1.67E+02	9.67E-01	8.64E-06	1635	0	2.67E-06	631	5.34E+01	1.00E+00	5.65E-22	3.74E-09	0.00E+00	8.50E-01	1.10E+00	3.99E-01	5.00E-01	0.00E+00	5.60E-02		3.33E-01	4.33E+00	6.77E+00	62	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000083312	2	2694	24	protein_coding	100422	1.00E+00	0	3.75E+01	0.00E+00	NA	5	72112139	72212560
AGO1	ENST00000373204	TRUE	171	5.43E+02	3.15E-01	3.37E-05	5599	73	2.85E+02	2.56E-01	2867	200	2.00E+02	1.00E+00	1.17E-05	1688	0	3.17E-06	517	5.24E+01	1.00E+00	1.46E-21	5.52E-09	0.00E+00	8.91E-01	1.13E+00	2.77E-01	3.57E-01	0.00E+00	5.70E-02		-1.11E-02	5.68E+00	6.71E+00	69	0	0	3	1.20E-05	4.08E-06	125745	3	0	125748	1.19E-05	1.79E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.66E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.64E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000092847	2	2571	19	protein_coding	59803	1.00E+00	0	3.99E+01	0.00E+00	NA	1	36335409	36395211
ARHGAP35	ENST00000404338	TRUE	510	8.52E+02	5.99E-01	4.97E-05	9949	136	3.56E+02	3.82E-01	4119	334	3.38E+02	9.89E-01	2.06E-05	2906	0	3.10E-06	609	5.20E+01	1.00E+00	2.05E-21	6.33E-09	0.00E+00	9.04E-01	1.08E+00	5.56E-01	6.44E-01	0.00E+00	5.70E-02		1.53E-01	4.16E+00	6.68E+00	70	0	0	4	1.61E-05	4.02E-06	124634	4	0	124638	1.60E-05	3.21E-05	0.00E+00	2.90E-05	0.00E+00	0.00E+00	0.00E+00	2.66E-05	0.00E+00	0.00E+00	0.00E+00	2.90E-05	0.00E+00	0.00E+00	0.00E+00	2.65E-05	0.00E+00	0.00E+00	protein_coding	ENSG00000160007	2	4497	6	protein_coding	86402	1.00E+00	0	3.20E+01	0.00E+00	NA	19	47421933	47508334
LRP1	ENST00000243077	TRUE	1692	2.95E+03	5.73E-01	2.09E-04	30166	547	1.38E+03	3.97E-01	14033	1104	1.20E+03	9.18E-01	9.08E-05	8584	8	1.34E-05	2549	2.47E+02	1.00E+00	3.99E-90	7.45E-35	3.24E-02	8.73E-01	9.65E-01	5.50E-01	5.96E-01	1.80E-02	5.80E-02		2.22E+00	8.25E+00	1.41E+01	84	0	0	13	5.19E-05	4.04E-06	125735	13	0	125748	5.17E-05	3.36E-04	6.15E-05	0.00E+00	2.00E-04	5.44E-05	4.65E-05	4.44E-05	1.63E-04	6.54E-05	6.15E-05	0.00E+00	1.98E-04	5.44E-05	4.62E-05	4.39E-05	1.63E-04	6.53E-05	protein_coding	ENSG00000123384	2	13632	89	protein_coding	84859	1.00E+00	3	1.74E+02	1.73E-02	NA	12	57522276	57607134
TOP1	ENST00000361337	TRUE	156	4.11E+02	3.79E-01	2.22E-05	5162	11	1.44E+02	7.66E-02	1747	127	1.38E+02	9.23E-01	7.04E-06	1252	0	3.04E-06	597	5.03E+01	1.00E+00	9.64E-21	1.20E-08	0.00E+00	7.98E-01	1.07E+00	3.32E-01	4.33E-01	0.00E+00	5.90E-02		7.10E-01	4.47E+00	6.57E+00	88	0	0	0	0.00E+00	0.00E+00	0	0	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	protein_coding	ENSG00000198900	2	2295	21	protein_coding	95670	1.00E+00	0	3.96E+01	0.00E+00	NA	20	39657458	39753127
