chrom	start	end	exon_chr	exon_start	exon_end	exon_gene	overlap_type	n_tissues	mean_pext	sd_pext	min_pext	max_pext	median_pext	iqr_pext	n_flagged.x	flagged_tissues.x	top3_tissues_by_z.x	top3_z.x	n_flagged.y	flagged_tissues.y	top3_tissues_by_z.y	top3_z.y
chr1	6413195	6413282	chr1	6412417	6413282	HES2	perfect	50	0.05786960000000001	0.1302196414533725	0	0.56522	0	0	2	Cells_EBV_transformedlymphocytes,Testis	Cells_EBV_transformedlymphocytes,Testis,Lung	3.896,3.089,2.042	2	Cells_EBV_transformedlymphocytes,Testis	Cells_EBV_transformedlymphocytes,Testis	3.896,3.089
chr1	6451330	6451370	chr1	6451316	6451370	ESPN	perfect	50	0.018006399999999995	0.04907047654555805	0	0.24699	0	0	2	Colon_Transverse,SmallIntestine_TerminalIleum	SmallIntestine_TerminalIleum,Colon_Transverse,Liver	4.666,3.147,2.404	2	Colon_Transverse,SmallIntestine_TerminalIleum	SmallIntestine_TerminalIleum,Colon_Transverse	4.666,3.147
chr1	6454433	6456194	chr1	6454433	6456671	ESPN	perfect	50	0.182228	0.26696731752889047	0	1	0.075495	0.12174249999999998	4	Artery_Aorta,Artery_Tibial,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Artery_Aorta,Artery_Tibial,Cells_Culturedfibroblasts	3.063,3.063,3.063	4	Artery_Aorta,Artery_Tibial,Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Artery_Aorta,Artery_Tibial,Cells_Culturedfibroblasts	3.063,3.063,3.063
chr1	6485323	6485443	chr1	6485323	6485469	PLEKHG5	perfect	50	0.1365336	0.10781596926054987	0	0.50196	0.11501	0.1367875	1	Muscle_Skeletal	Muscle_Skeletal,Lung,Adipose_Subcutaneous	3.389,2.32,1.513	1	Muscle_Skeletal	Muscle_Skeletal	3.389
chr1	6496516	6496569	chr1	6496492	6496696	PLEKHG5	perfect	50	0.0086742	0.0613358564136835	0	0.43371	0	0	1	Nerve_Tibial	Nerve_Tibial,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Nerve_Tibial	Nerve_Tibial	6.93
chr1	6506025	6506158	chr1	6506025	6506158	PLEKHG5	perfect	50	0.0086742	0.0613358564136835	0	0.43371	0	0	1	Nerve_Tibial	Nerve_Tibial,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Nerve_Tibial	Nerve_Tibial	6.93
chr1	7846691	7846766	chr1	7846691	7846766	UTS2	perfect	50	0.0091812	0.04545915240417624	0	0.23684	0	0	2	Spleen,WholeBlood	Spleen,WholeBlood,Adipose_Subcutaneous	5.008,4.686,-0.202	2	Spleen,WholeBlood	Spleen,WholeBlood	5.008,4.686
chr1	7921983	7922021	chr1	7921799	7922021	TNFRSF9	perfect	50	0.0023447999999999993	0.016580239805262163	0	0.11724	0	0	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	6.93
chr1	9922257	9922358	chr1	9922112	9922358	LZIC	perfect	50	0.08428	0.045749076671846946	0.03146	0.33093	0.08274000000000001	0.047785000000000015	1	Testis	Testis,Heart_LeftVentricle,Heart_AtrialAppendage	5.391,1.321,1.226	1	Testis	Testis	5.391
chr1	10107221	10107374	chr1	10107221	10107374	UBE4B	perfect	50	0.024843800000000006	0.0901077737453708	0	0.55114	0.001605	0.0082475	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.841,2.608,2.334	1	Muscle_Skeletal	Muscle_Skeletal	5.841
chr1	10355369	10355396	chr1	10355369	10355396	KIF1B	perfect	50	0.0041958	0.029201561049270738	0	0.20654	0	0	1	Testis	Testis,Brain_CerebellarHemisphere,Brain_Cerebellum	6.929,-0.085,-0.091	1	Testis	Testis	6.929
chr1	10642081	10642322	chr1	10642081	10642322	CASZ1	perfect	50	0.018275999999999997	0.04207291479305509	0	0.25885	0.004255	0.015975	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	5.718,2.387,2.186	1	Muscle_Skeletal	Muscle_Skeletal	5.718
chr1	11294872	11294883	chr1	11294872	11296049	UBIAD1	perfect	50	0.11955339999999999	0.06305848492357823	0.05217	0.36807	0.101785	0.06054499999999999	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere,Muscle_Skeletal	3.941,3.297,1.33	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere	3.941,3.297
chr1	11294883	11294887	chr1	11294872	11296049	UBIAD1	perfect	50	0.10421419999999999	0.05266733871873806	0.05217	0.33002	0.0908	0.0458625	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere,Brain_Nucleusaccumbens_basalganglia	4.287,3.465,1.433	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere	4.287,3.465
chr1	13197851	13197982	chr1	13197851	13198130	PRAMEF13	perfect	50	0.01999999999999999	0.14142135623730948	0	1	0	0	1	Testis	Testis,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Testis	Testis	6.93
chr1	13893665	13893756	chr1	13892791	13893756	KAZN	perfect	50	0.0243646	0.03689318853177124	0	0.21482	0.014075	0.030822499999999996	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Ovary,Heart_AtrialAppendage	5.162,2.756,1.586	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	5.162
chr1	14180434	14180592	chr1	14180434	14180592	KAZN	perfect	50	0.0243646	0.03689318853177124	0	0.21482	0.014075	0.030822499999999996	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Ovary,Heart_AtrialAppendage	5.162,2.756,1.586	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	5.162
chr1	14304589	14304655	chr1	14304589	14304663	KAZN	perfect	50	0.009193999999999999	0.027580231385274972	0	0.19149	0.0025700000000000002	0.0077824999999999995	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,SmallIntestine_TerminalIleum,Colon_Transverse	6.61,1.117,0.819	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.61
chr1	14924364	14924572	chr1	14924129	14924572	KAZN	perfect	50	0.0963048	0.04939141903659966	0	0.31414	0.08864	0.041190000000000004	1	Esophagus_Mucosa	Esophagus_Mucosa,Testis,Brain_Spinalcord_cervicalc_1	4.41,1.68,1.328	1	Esophagus_Mucosa	Esophagus_Mucosa	4.41
chr1	16019133	16019469	chr1	16019133	16019594	HSPB7	perfect	50	0.034248400000000005	0.08603509624067875	0	0.32916	9.8e-4	0.0101275	3	Cells_EBV_transformedlymphocytes,Kidney_Cortex,Thyroid	Kidney_Cortex,Thyroid,Cells_EBV_transformedlymphocytes	3.428,3.307,3.234	3	Cells_EBV_transformedlymphocytes,Kidney_Cortex,Thyroid	Kidney_Cortex,Thyroid,Cells_EBV_transformedlymphocytes	3.428,3.307,3.234
chr1	16410777	16410852	chr1	16410777	16410915	SPATA21	perfect	50	0.008463800000000002	0.03512672091157955	0	0.21997	0	0	1	Testis	Testis,Brain_Cerebellum,Brain_CerebellarHemisphere	6.021,2.213,2.172	1	Testis	Testis	6.021
chr1	16425099	16425210	chr1	16424903	16425210	SPATA21	perfect	50	0.010319800000000002	0.05597582672466933	0	0.38011	0	0	1	Testis	Testis,Brain_CerebellarHemisphere,Brain_Cerebellum	6.606,1.935,0.124	1	Testis	Testis	6.606
chr1	16425523	16425731	chr1	16425523	16425731	SPATA21	perfect	50	0.010319800000000002	0.05597582672466933	0	0.38011	0	0	1	Testis	Testis,Brain_CerebellarHemisphere,Brain_Cerebellum	6.606,1.935,0.124	1	Testis	Testis	6.606
chr1	16427863	16428015	chr1	16427863	16428015	SPATA21	perfect	50	0.010319800000000002	0.05597582672466933	0	0.38011	0	0	1	Testis	Testis,Brain_CerebellarHemisphere,Brain_Cerebellum	6.606,1.935,0.124	1	Testis	Testis	6.606
chr1	17618353	17618522	chr1	17618315	17618522	ARHGEF10L	perfect	50	0.2463568	0.11585457607584729	0.02642	0.59615	0.24581	0.1351525	1	WholeBlood	WholeBlood,Heart_LeftVentricle,Muscle_Skeletal	3.019,2.321,2.294	1	WholeBlood	WholeBlood	3.019
chr1	19234179	19234188	chr1	19234179	19234308	EMC1	perfect	50	0.014175800000000002	0.03265790175908618	0	0.1731	0	0.00773	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Brain_CerebellarHemisphere,Brain_Cerebellum	4.866,2.909,2.424	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	4.866
chr1	19327570	19327618	chr1	19327570	19328081	SLC66A1	perfect	50	0.2204388	0.05973366410243088	0.128	0.43604	0.21366000000000002	0.047514999999999974	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere,Ovary	3.609,3.557,1.711	2	Brain_CerebellarHemisphere,Brain_Cerebellum	Brain_Cerebellum,Brain_CerebellarHemisphere	3.609,3.557
chr1	19484189	19484279	chr1	19484189	19484891	CAPZB,MICOS10	perfect	50	0.0176866	0.04478236445025097	6.4e-4	0.32203	0.01077	0.00894	1	Testis	Testis,Pituitary,Brain_CerebellarHemisphere	6.796,0.619,0.395	1	Testis	Testis	6.796
chr1	20892618	20892729	chr1	20892618	20892729	EIF4G3	perfect	50	0.0213582	0.025289478225909996	0.00273	0.12945	0.0133	0.017990000000000003	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts,Skin_SunExposed_Lowerleg	4.274,3.625,1.509	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	4.274,3.625
chr1	20941378	20941395	chr1	20941241	20941484	EIF4G3	perfect	50	0.020583	0.029671626331963564	0.00452	0.21576	0.015050000000000001	0.0081875	1	Testis	Testis,WholeBlood,Muscle_Skeletal	6.578,0.819,0.74	1	Testis	Testis	6.578
chr1	21651778	21651822	chr1	21651162	21651903	RAP1GAP	perfect	50	0.0028242000000000007	0.014725925644306121	0	0.10428	0	0.001065	1	Nerve_Tibial	Nerve_Tibial,Brain_Spinalcord_cervicalc_1,Kidney_Cortex	6.89,0.375,0.133	1	Nerve_Tibial	Nerve_Tibial	6.89
chr1	21998150	21998186	chr1	21998150	21998642	CELA3B	perfect	50	0.0125324	0.052153764908417194	0	0.3375	0	0	1	Testis	Testis,Colon_Transverse,SmallIntestine_TerminalIleum	6.231,2.283,1.212	1	Testis	Testis	6.231
chr1	24066106	24066208	chr1	24066106	24066579	MYOM3	perfect	50	0.5558414	0.12009585656177371	0.33333	1	0.515585	0.09843749999999996	2	Cells_EBV_transformedlymphocytes,WholeBlood	Cells_EBV_transformedlymphocytes,WholeBlood,Testis	3.698,3.698,1.694	2	Cells_EBV_transformedlymphocytes,WholeBlood	Cells_EBV_transformedlymphocytes,WholeBlood	3.698,3.698
chr1	25411339	25411439	chr1	25411339	25411478	RHCE	perfect	50	0.1716412	0.21593407754087487	0	1	0.120585	0.272505	1	Vagina	Vagina,Esophagus_Mucosa,Brain_CerebellarHemisphere	3.836,2.035,1.803	1	Vagina	Vagina	3.836
chr1	26362115	26362175	chr1	26362115	26362175	ZNF683	perfect	50	0.006470600000000005	0.034938067211123455	0	0.23094	0	0	1	Testis	Testis,WholeBlood,Adipose_Subcutaneous	6.425,2.465,-0.185	1	Testis	Testis	6.425
chr1	26374277	26374290	chr1	26374277	26374522	ZNF683	perfect	50	0.0034020000000000014	0.02405577269596635	0	0.1701	0	0	1	Testis	Testis,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Testis	Testis	6.93
chr1	27730231	27730333	chr1	27730231	27730333	FAM76A	perfect	50	0.0550848	0.03879554257164825	0	0.27644	0.05605	0.0331175	1	Testis	Testis,Bladder,Vagina	5.706,1.084,0.878	1	Testis	Testis	5.706
chr1	28530573	28530615	chr1	28530522	28530615	RCC1	perfect	50	0.0532138	0.04651115314521839	0	0.28102	0.053595000000000004	0.046020000000000005	1	Testis	Testis,Artery_Tibial,Adipose_Subcutaneous	4.898,1.093,1.036	1	Testis	Testis	4.898
chr1	28623945	28624017	chr1	28623941	28624126	TAF12	perfect	50	0.009203000000000001	0.04773316530891453	0	0.32277	0	0	1	Muscle_Skeletal	Muscle_Skeletal,Heart_LeftVentricle,Heart_AtrialAppendage	6.569,1.951,0.542	1	Muscle_Skeletal	Muscle_Skeletal	6.569
chr1	29068732	29068768	chr1	29068732	29068783	EPB41	perfect	50	0.029690400000000002	0.026487038567601942	0	0.10924	0.026605	0.0276225	1	Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9,Brain_Caudate_basalganglia,Brain_Cortex	3.003,2.169,2.005	1	Brain_FrontalCortex_BA9	Brain_FrontalCortex_BA9	3.003
chr1	31318194	31318236	chr1	31318166	31318236	ZCCHC17	perfect	50	0.0787968	0.04927411256575665	0.00347	0.27961	0.073425	0.04923500000000001	1	Testis	Testis,Brain_Putamen_basalganglia,Brain_Caudate_basalganglia	4.075,1.704,1.573	1	Testis	Testis	4.075
chr1	32765769	32765827	chr1	32765633	32765827	NHSL3	perfect	50	0.0311654	0.08048243535615174	0	0.43861	0	0.0021674999999999997	1	Testis	Testis,WholeBlood,Spleen	5.063,2.719,1.881	1	Testis	Testis	5.063
chr1	33605862	33605988	chr1	33605862	33605988	CSMD2	perfect	50	0.0904944	0.12155321416615215	0	0.5	0	0.1707875	1	Ovary	Ovary,Esophagus_Mucosa,Uterus	3.369,1.998,1.998	1	Ovary	Ovary	3.369
chr1	35720893	35720980	chr1	35720217	35720980	CLSPN	perfect	50	0.037918999999999994	0.06862117357088039	0	0.2892	0	0.0576275	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Testis,Cells_Culturedfibroblasts	3.662,2.626,2.565	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	3.662
chr1	35982620	35982649	chr1	35982620	35983409	AGO3	perfect	50	0.0937748	0.04491456584972616	0.04348	0.32137	0.082995	0.04539749999999999	1	Testis	Testis,Pancreas,Cells_EBV_transformedlymphocytes	5.067,2.543,1.412	1	Testis	Testis	5.067
chr1	39410265	39413982	chr1	39409502	39414477	MACF1	perfect	50	0.011138	0.01665556179705477	0.00171	0.12125	0.00831	0.004919999999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Muscle_Skeletal,Nerve_Tibial	6.611,0.767,0.73	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.611
chr1	39413982	39414477	chr1	39409502	39414477	MACF1	perfect	50	0.053252	0.03862277566410783	0.01027	0.28608	0.04782	0.029360000000000004	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Muscle_Skeletal,Pancreas	6.028,1.082,0.665	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	6.028
chr1	39436481	39436490	chr1	39436481	39436490	MACF1	perfect	50	0.0796174	0.03010278214886526	0.02226	0.24088	0.07877999999999999	0.02720249999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes,MinorSalivaryGland	5.357,1.913,0.787	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	5.357
chr1	39575631	39575686	chr1	39575631	39575686	PABPC4	perfect	50	0.0684668	0.03467664828800206	0.0186	0.23471	0.06565	0.03051749999999999	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes,Pancreas	4.794,2.072,1.778	1	Cells_Culturedfibroblasts	Cells_Culturedfibroblasts	4.794
chr1	40544396	40544415	chr1	40544396	40545037	ZNF684	perfect	50	0.11100120000000001	0.08922673408839768	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103
chr1	40544415	40544456	chr1	40544396	40545037	ZNF684	perfect	50	0.1122128	0.09330141106267212	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.51,3.455,3.333	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.51,3.455,3.333
chr1	40544456	40544515	chr1	40544396	40545037	ZNF684	perfect	50	0.11100120000000001	0.08922673408839768	0	0.43972	0.08997	0.0480675	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103	3	Heart_AtrialAppendage,Heart_LeftVentricle,Muscle_Skeletal	Muscle_Skeletal,Heart_AtrialAppendage,Heart_LeftVentricle	3.684,3.343,3.103
chr1	41159724	41159730	chr1	41159724	41159933	SCMH1	perfect	50	0.0860294	0.042283711989756216	0	0.27887	0.07391	0.03949500000000001	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	4.561,2.22,1.995	1	Muscle_Skeletal	Muscle_Skeletal	4.561
chr1	42951819	42951930	chr1	42951615	42952016	SLC2A1	perfect	50	0.006008799999999999	0.023900795532827788	0	0.16536	0	0.003005	1	WholeBlood	WholeBlood,Spleen,Cells_EBV_transformedlymphocytes	6.667,1.335,0.736	1	WholeBlood	WholeBlood	6.667
chr1	43145248	43145297	chr1	43145152	43145297	CFAP144	perfect	50	0.03831279999999999	0.09118929081502355	0	0.32192	0	0	1	Esophagus_Mucosa	Esophagus_Mucosa,Skin_SunExposed_Lowerleg,MinorSalivaryGland	3.11,2.971,2.556	1	Esophagus_Mucosa	Esophagus_Mucosa	3.11
chr1	43911166	43911241	chr1	43911166	43911243	ST3GAL3	perfect	50	0.038461	0.030420968013821634	0.00146	0.14003	0.03491	0.039065	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Esophagus_Mucosa,Lung	3.339,2.071,1.621	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	3.339
chr1	44017046	44017133	chr1	44017046	44017340	SLC6A9	perfect	50	0.019678400000000006	0.0408641273430647	0	0.20234	0	0.0124575	1	Brain_Spinalcord_cervicalc_1	Brain_Spinalcord_cervicalc_1,Brain_Substantianigra,Brain_Hippocampus	4.47,2.399,1.911	1	Brain_Spinalcord_cervicalc_1	Brain_Spinalcord_cervicalc_1	4.47
chr1	44241925	44242080	chr1	44241914	44242080	ERI3	perfect	50	0.0420542	0.03126386700264674	0.01134	0.24325	0.036835	0.012232499999999993	1	Testis	Testis,WholeBlood,Liver	6.435,1.028,0.799	1	Testis	Testis	6.435
chr1	44283985	44284069	chr1	44283985	44284069	ERI3	perfect	50	0.0794696	0.08193703007673586	0	0.35905	0.060950000000000004	0.12755000000000002	1	WholeBlood	WholeBlood,Cells_EBV_transformedlymphocytes,Pancreas	3.412,2.067,1.794	1	WholeBlood	WholeBlood	3.412
chr1	44322724	44322868	chr1	44322724	44323043	ERI3	perfect	50	0.0283802	0.03535535600044734	0	0.14121	0.020354999999999998	0.0368725	1	Prostate	Prostate,Kidney_Cortex,Spleen	3.191,2.878,2.34	1	Prostate	Prostate	3.191
chr1	44746756	44746759	chr1	44746405	44746759	KIF2C	perfect	50	0.014920399999999992	0.10550316018015764	0	0.74602	0	0	1	Testis	Testis,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Testis	Testis	6.93
chr1	44820691	44820704	chr1	44819153	44820704	PTCH2,RNU5E-6P	perfect	50	0.0352478	0.031506220784512526	0	0.14286	0.027549999999999998	0.020059999999999998	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts,Adipose_Visceral_Omentum	3.416,3.113,2.718	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	3.416,3.113
chr1	44821841	44821904	chr1	44821841	44821904	PTCH2	perfect	50	0.035162	0.031524711395529516	0	0.14286	0.027549999999999998	0.019525000000000004	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts,Adipose_Visceral_Omentum	3.416,3.114,2.719	2	Cells_Culturedfibroblasts,Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,Cells_Culturedfibroblasts	3.416,3.114
chr1	46341843	46343392	chr1	46341186	46344294	NSUN4	perfect	50	0.0360748	0.0386073185533203	0.01004	0.28829	0.03077	0.015224999999999999	1	Testis	Testis,Brain_Cerebellum,Brain_CerebellarHemisphere	6.533,0.971,0.872	1	Testis	Testis	6.533
chr1	46343392	46343799	chr1	46341186	46344294	NSUN4	perfect	50	0.0739554	0.06347060027143533	0.0301	0.49811	0.06498999999999999	0.02687499999999999	1	Testis	Testis,Pituitary,Colon_Sigmoid	6.683,0.339,0.339	1	Testis	Testis	6.683
chr1	48818205	48818222	chr1	48817506	48818222	AGBL4	perfect	50	0.0027133999999999986	0.015781952701146473	0	0.10888	0	0	1	Testis	Testis,Pituitary,Adipose_Subcutaneous	6.727,1.526,-0.172	1	Testis	Testis	6.727
chr1	50106276	50106393	chr1	50106264	50106393	ELAVL4	perfect	50	0.003997800000000002	0.02761008461798415	0	0.1953	0	0	1	Testis	Testis,Brain_Hypothalamus,Brain_FrontalCortex_BA9	6.929,-0.058,-0.065	1	Testis	Testis	6.929
chr1	50179543	50179573	chr1	50179543	50181300	ELAVL4	perfect	50	0.07687659999999999	0.13264035075114872	0	0.52381	0	0.08973999999999999	1	Pancreas	Pancreas,Pituitary,Heart_AtrialAppendage	3.37,2.929,2.436	1	Pancreas	Pancreas	3.37
chr1	51322117	51322161	chr1	51321998	51322268	TTC39A	perfect	50	0.011405999999999987	0.08065259946213761	0	0.5703	0	0	1	Testis	Testis,Adipose_Subcutaneous,Adipose_Visceral_Omentum	6.93,-0.141,-0.141	1	Testis	Testis	6.93
chr1	51344990	51345043	chr1	51344990	51345116	TTC39A	perfect	50	0.05400339999999999	0.11707272471364776	0	0.50353	0	0	2	Skin_NotSunExposed_Suprapubic,Skin_SunExposed_Lowerleg	Skin_SunExposed_Lowerleg,Skin_NotSunExposed_Suprapubic,Esophagus_Mucosa	3.84,3.509,2.074	2	Skin_NotSunExposed_Suprapubic,Skin_SunExposed_Lowerleg	Skin_SunExposed_Lowerleg,Skin_NotSunExposed_Suprapubic	3.84,3.509
chr1	51729974	51730001	chr1	51729807	51730124	OSBPL9	perfect	50	0.0369908	0.03361628394522087	0	0.2089	0.030265	0.021687500000000002	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes,AdrenalGland,Pancreas	5.114,1.658,1.452	1	Cells_EBV_transformedlymphocytes	Cells_EBV_transformedlymphocytes	5.114
chr1	51740142	51740211	chr1	51740142	51740211	OSBPL9	perfect	50	0.0790932	0.07632293611560106	0	0.48722	0.06972	0.05847499999999999	1	Muscle_Skeletal	Muscle_Skeletal,Brain_CerebellarHemisphere,Brain_Cerebellum	5.347,1.752,1.66	1	Muscle_Skeletal	Muscle_Skeletal	5.347
